player_name,team,Height,Age,Market value,Primary,Touches,Shot attempts,Goals,Chances created,Aerial duels won,Defensive actions
Geovanny,Farense,185,20,0.0,Attacking Midfielder,0,0,0,0,0,0
Israel Salazar,Estoril,177,21,250000.0,Right Winger,44,37,98,52,65,10
Tiago Reis,Nacional,183,25,350000.0,Striker,0,0,0,0,0,0
Samuel Obeng,Casa Pia AC,183,27,1000000.0,Striker,5,4,22,2,70,52
Pablo Gozálbez,Arouca,170,23,0.0,Attacking Midfielder,0,0,0,0,0,0
Álex Millán,Farense,182,24,850000.0,Left Midfielder,60,47,14,84,56,52
Jorge Teixeira,AVS Futebol SAD,188,38,110000.0,Left-back,0,0,0,0,0,0
Ze Vitor,Nacional,183,23,120000.0,Center-back,1,86,97,24,15,5
Depu,Gil Vicente,181,24,550000.0,Striker,21,56,45,4,75,3
Bernardo Martins,Moreirense,176,26,0.0,Attacking Midfielder,0,0,0,0,0,0
Jose Gomes,Nacional,185,28,0.0,Left-back,0,0,0,0,0,0
Lucas Africo,Farense,188,29,420000.0,Center-back,0,0,0,0,0,0
