text,href
315Israel SalazarPlayer of the Match: 05.86,/en-GB/players/1418044/israel-salazar
316Tiago ReisPlayer of the Match: 05.85,/en-GB/players/1033157/tiago-reis
317Samuel ObengPlayer of the Match: 05.84,/en-GB/players/965013/samuel-obeng
318Pablo GozálbezPlayer of the Match: 05.80,/en-GB/players/1118703/pablo-gozalbez
319Simon BanzaPlayer of the Match: 05.70,/en-GB/players/696932/simon-banza
320Álex MillánPlayer of the Match: 05.67,/en-GB/players/1093297/alex-millan
321Jorge TeixeiraPlayer of the Match: 05.64,/en-GB/players/171338/jorge-teixeira
322Ze VitorPlayer of the Match: 05.63,/en-GB/players/1256692/ze-vitor
323Miguel NobregaPlayer of the Match: 05.57,/en-GB/players/993805/miguel-nobrega
324DepuPlayer of the Match: 05.55,/en-GB/players/1312644/depu
325Bernardo MartinsPlayer of the Match: 05.52,/en-GB/players/776606/bernardo-martins
326Jose GomesPlayer of the Match: 05.47,/en-GB/players/575065/jose-gomes
327Lucas AfricoPlayer of the Match: 05.43,/en-GB/players/953960/lucas-africo
328Daniel FigueiraPlayer of the Match: 04.47,/en-GB/players/813225/daniel-figueira
